"player_name","scoring_class","improvement_ratio"
"Tracy McGrady","star","3.6571429"
"Dirk Nowitzki","star","2.8536584"
"Peja Stojakovic","star","2.5238097"
"Cuttino Mobley","star","2.1919193"
"Jalen Rose","star","2.1702127"
"Kobe Bryant","star","1.6363637"
"Paul Pierce","star","1.5818182"
"Allen Iverson","star","1.4272727"
"Jamal Mashburn","star","1.423841"
"Jerry Stackhouse","star","1.3544303"
"Vince Carter","star","1.3497269"
"Tim Duncan","star","1.2085308"
"Steve Francis","star","1.2"
"Stephon Marbury","star","1.1525424"
"Gary Payton","star","1.1510416"
"Kevin Garnett","star","1.145946"
"Chris Webber","star","1.1187215"
"Ray Allen","star","1.1179487"
"Allan Houston","star","1.1086956"
"Antoine Walker","star","0.9866072"
"Shaquille O'Neal","star","0.9611308"
"Michael Finley","star","0.95813954"
"Shareef Abdur-Rahim","star","0.9506727"
"Glenn Robinson","star","0.8846154"
"Karl Malone","star","0.8296296"
"Michael Jordan","star","0.7979094"
"Rashard Lewis","good","6.9999995"
"Jermaine O'Neal","good","4.2222223"
"Bonzi Wells","good","3.8636363"
"Baron Davis","good","3.0677967"
"Jason Terry","good","2.382716"
"Richard Hamilton","good","2.2222223"
"Antawn Jamison","good","2.0520833"
"Steve Nash","good","1.9670328"
"Shawn Marion","good","1.872549"
"Wally Szczerbiak","good","1.612069"
"Andre Miller","good","1.4864864"
"Nick Van Exel","good","1.3333333"
"Rasheed Wallace","good","1.3219178"
"Mike Miller","good","1.277311"
"Eddie Jones","good","1.0828402"
"Lamond Murray","good","1.0779221"
"Wesley Person","good","1.027211"
"Sam Cassell","good","1.005102"
"Clyde Drexler","good","1"
"Pau Gasol","good","1"
"Latrell Sprewell","good","0.90654206"
"Elton Brand","good","0.90547264"
"Derrick Coleman","good","0.85795456"
"Reggie Miller","good","0.84615386"
"Alonzo Mourning","good","0.8134715"
"Grant Hill","good","0.7962085"
"Troy Hudson","average","7.7999997"
"Al Harrington","average","6.2380958"
"Michael Redd","average","5.181818"
"Ruben Patterson","average","4.148148"
"Jeff McInnis","average","3.945946"
"Eric Snow","average","3.6666667"
"Keon Clark","average","3.4242425"
"Aaron McKie","average","2.9756098"
"Lee Nailon","average","2.7692308"
"Ricky Davis","average","2.6"
"Stromile Swift","average","2.4081633"
"Brad Miller","average","2.1587303"
"Desmond Mason","average","2.1016948"
"Chris Whitney","average","2"
"Pat Garrity","average","1.9821429"
"Alvin Williams","average","1.9666667"
"Derek Fisher","average","1.9310344"
"Hedo Turkoglu","average","1.9056604"
"Kurt Thomas","average","1.8783783"
"Kenny Thomas","average","1.6987952"
"Quentin Richardson","average","1.6419753"
"Antonio Davis","average","1.5104166"
"Morris Peterson","average","1.5053763"
"Malik Sealy","average","1.4675325"
"Matt Harpring","average","1.4390244"
"Elden Campbell","average","1.3762375"
"Corey Maggette","average","1.3571429"
"Larry Hughes","average","1.3516483"
"Darrell Armstrong","average","1.3478261"
"Lorenzen Wright","average","1.3333334"
"Brent Barry","average","1.321101"
"Bobby Phills","average","1.3076924"
"James Posey","average","1.304878"
"Marcus Fizer","average","1.2947369"
"Chucky Atkins","average","1.2736843"
"Jason Kidd","average","1.2672414"
"Michael Olowokandi","average","1.2471911"
"Kenyon Martin","average","1.2416667"
"Jason Williams","average","1.15625"
"Maurice Taylor","average","1.1304348"
"John Stockton","average","1.1166667"
"Chauncey Billups","average","1.1160715"
"Metta World Peace","average","1.1"
"Danny Fortson","average","1.0980393"
"David Wesley","average","1.0923077"
"Vlade Divac","average","1.0673077"
"Tim Thomas","average","1.0636363"
"Mike Bibby","average","1.0378788"
"Clifford Robinson","average","1.028169"
"Gilbert Arenas","average","1"
"Shane Battier","average","1"
"Jason Richardson","average","1"
"Andrei Kirilenko","average","1"
"Michael Dickerson","average","0.9908257"
"Raef LaFrentz","average","0.9782609"
"Donyell Marshall","average","0.961039"
"Bobby Jackson","average","0.95689654"
"Charles Barkley","average","0.95394737"
"Derek Anderson","average","0.9230769"
"Marcus Camby","average","0.91735536"
"Voshon Lenard","average","0.9126984"
"Ron Mercer","average","0.9084967"
"Jeff Hornacek","average","0.8732394"
"Joe Dumars","average","0.86259544"
"Dikembe Mutombo","average","0.85820895"
"Zydrunas Ilgauskas","average","0.7985612"
"Juwan Howard","average","0.7891892"
"Lamar Odom","average","0.7891566"
"Rodney Rogers","average","0.78807944"
"Damon Stoudamire","average","0.7803469"
"Kerry Kittles","average","0.7790697"
"Rik Smits","average","0.77245504"
"Corliss Williamson","average","0.76836157"
"Keith Van Horn","average","0.75126904"
"Antonio McDyess","average","0.74834436"
"Terrell Brandon","average","0.7380952"
"Vin Baker","average","0.734375"
"Joe Smith","average","0.73287666"
"Anfernee Hardaway","average","0.73170733"
"Doug Christie","average","0.72727275"
"Jim Jackson","average","0.6815287"
"Bison Dele","average","0.6481481"
"Arvydas Sabonis","average","0.63125"
"Rod Strickland","average","0.58426964"
"Steven Smith","average","0.57711446"
"David Robinson","average","0.5648148"
"Scottie Pippen","average","0.5520833"
"Don MacLean","bad","13"
"Ira Bowman","bad","6.6"
"Nazr Mohammed","bad","6.0625"
"Jumaine Jones","bad","4.882353"
"Donnell Harvey","bad","4.7499995"
"Art Long","bad","4.5"
"Ira Newble","bad","4"
"Randy Livingston","bad","4"
"Gerard King","bad","4"
"Jon Barry","bad","3.6"
"Shawnelle Scott","bad","3.5454545"
"Jerome James","bad","3.5333335"
"Gheorghe Muresan","bad","3.5"
"Raja Bell","bad","3.4"
"Joel Przybilla","bad","3.375"
"Sean Marks","bad","3.2857144"
"Malik Rose","bad","3.1333332"
"Mamadou N'diaye","bad","3.0769231"
"Tim Legler","bad","3"
"Shammond Williams","bad","2.9333334"
"Laron Profit","bad","2.8666668"
"Dalibor Bagaric","bad","2.846154"
"Jonathan Bender","bad","2.7407408"
"DeJuan Wheat","bad","2.6470587"
"Jake Voskuhl","bad","2.631579"
"Todd MacCulloch","bad","2.6216216"
"Scott Padgett","bad","2.5769231"
"Moochie Norris","bad","2.53125"
"Tony Farmer","bad","2.52"
"Jeff Foster","bad","2.4782608"
"Ben Wallace","bad","2.451613"
"Jermaine Jackson","bad","2.4"
"Lucious Harris","bad","2.394737"
"Scot Pollard","bad","2.3703704"
"Austin Croshere","bad","2.3448277"
"David Wingate","bad","2.3076923"
"DeShawn Stevenson","bad","2.2272727"
"Devean George","bad","2.21875"
"Rodney Buford","bad","2.1860464"
"Jahidi White","bad","2.16"
"Darvin Ham","bad","2.15"
"Jacque Vaughn","bad","2.1290324"
"Charles Smith","bad","2.1142857"
"Rasho Nesterovic","bad","2.1"
"Jamal Crawford","bad","2.0217392"
"Roshown McLeod","bad","2"
"Chris Crawford","bad","2"
"Zendon Hamilton","bad","2"
"Eduardo Najera","bad","1.969697"
"Ryan Bowen","bad","1.96"
"Anthony Parker","bad","1.8947368"
"John Crotty","bad","1.8648648"
"B.J. Armstrong","bad","1.85"
"Jamaal Magloire","bad","1.8478261"
"Keith Booth","bad","1.8235294"
"Grant Long","bad","1.8000001"
"Lavor Postell","bad","1.7391305"
"Kelvin Cato","bad","1.7368422"
"Bob Sura","bad","1.7241379"
"Chris Garner","bad","1.7142859"
"Roy Rogers","bad","1.6923078"
"Rusty LaRue","bad","1.6571429"
"Milt Palacio","bad","1.65"
"DerMarr Johnson","bad","1.6470587"
"Calvin Booth","bad","1.6315789"
"Kevin Ollie","bad","1.6285714"
"Jake Tsakalidis","bad","1.6222223"
"Emanual Davis","bad","1.6097561"
"Jamie Feick","bad","1.6086957"
"Eddie House","bad","1.6"
"Adonal Foyle","bad","1.6"
"Rafer Alston","bad","1.590909"
"Aaron Williams","bad","1.5652174"
"Tyronn Lue","bad","1.5600001"
"Mark Davis","bad","1.55"
"Greg Anthony","bad","1.5192308"
"Charles O'Bannon","bad","1.4761904"
"Harold Jamison","bad","1.4666667"
"Jerome Williams","bad","1.4339622"
"Mark Madsen","bad","1.4"
"Dion Glover","bad","1.3692307"
"Earl Boykins","bad","1.3666667"
"Mark Pope","bad","1.3571428"
"Jason Collier","bad","1.3548387"
"Rex Walters","bad","1.3333334"
"Terry Cummings","bad","1.3333333"
"Ben Davis","bad","1.3333333"
"Jason Hart","bad","1.3"
"Mikki Moore","bad","1.3"
"Etdrick Bohannon","bad","1.3"
"Erick Barkley","bad","1.2916666"
"Eddie Robinson","bad","1.2857143"
"Othella Harrington","bad","1.2833333"
"Bruce Bowen","bad","1.25"
"Mitchell Butler","bad","1.2380953"
"Drew Barry","bad","1.2380953"
"Corey Benjamin","bad","1.236842"
"George McCloud","bad","1.2222223"
"Travis Best","bad","1.2153846"
"Herb Williams","bad","1.2142857"
